City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Vila Velha,BR,-20.3297,-40.2925,82.35,57,20,12.66,few clouds
170,Taoudenni,ML,22.6783,-3.9836,101.57,7,9,20.96,clear sky
171,Rocky Mountain House,CA,52.3668,-114.9188,48.02,52,60,9.31,broken clouds
172,Ilulissat,GL,69.2167,-51.1,26.62,63,20,3.44,few clouds
173,Namatanai,PG,-3.6667,152.4333,78.21,79,27,4.99,scattered clouds
174,Vershino-Darasunskiy,RU,52.35,115.5167,40.86,60,94,4.12,overcast clouds
175,Maldonado,UY,-34.6667,-54.9167,69.19,50,15,1.99,few clouds
176,Leominster,US,42.5251,-71.7598,87.48,49,0,3.44,clear sky
177,Avarua,CK,-21.2078,-159.775,80.65,78,75,16.11,broken clouds
178,Luanda,AO,-8.8368,13.2343,80.6,78,20,10.36,few clouds
179,Tambopata,PE,-12.7333,-69.1833,84.09,70,40,3.44,scattered clouds
180,Kapoeta,SS,4.7717,33.5903,90.57,32,20,14.72,few clouds
181,Odweyne,SO,9.4092,45.064,85.41,20,29,17.02,scattered clouds
182,Pokhara,NP,28.2333,83.9833,75.65,58,86,6.42,overcast clouds
183,Eureka,US,40.8021,-124.1637,65.19,95,88,1.99,overcast clouds
184,Vangaindrano,MG,-23.35,47.6,69.93,79,46,3.96,scattered clouds
185,Mahibadhoo,MV,3.7833,72.9667,83.5,75,100,18.07,light rain
186,Port Hardy,CA,50.6996,-127.4199,46.58,87,75,2.3,broken clouds
187,Beringovskiy,RU,63.05,179.3167,34.27,96,78,4.65,broken clouds
188,Yarkovo,RU,57.4028,67.0786,55.17,56,80,8.28,broken clouds
189,Provideniya,RU,64.3833,-173.3,32.49,95,91,5.17,overcast clouds
190,Quelimane,MZ,-17.8786,36.8883,75.15,78,20,5.75,few clouds
191,Bilma,NE,18.6853,12.9164,96.75,9,0,16.53,clear sky
192,Goundam,ML,16.4145,-3.6708,105.13,5,12,15.05,few clouds
193,Katete,UG,-0.7818,29.7544,69.91,74,88,5.1,light rain
194,Ancud,CL,-41.8697,-73.8203,53.38,72,54,4.54,broken clouds
195,Sivaki,RU,52.6333,126.75,38.43,57,22,15.82,few clouds
196,Paamiut,GL,61.994,-49.6678,28.83,62,100,12.3,overcast clouds
197,Sabha,LY,27.0377,14.4283,81.95,15,0,12.48,clear sky
198,Kruisfontein,ZA,-34.0033,24.7314,59.88,86,46,5.48,scattered clouds
199,Kodiak,US,57.79,-152.4072,38.71,87,100,12.66,light rain
200,Baculin,PH,7.4525,126.5842,78.24,86,99,3.94,overcast clouds
201,Malakal,SS,9.5334,31.6605,93.52,36,90,4.7,overcast clouds
202,Tommot,RU,58.9564,126.2925,19.58,97,79,2.62,broken clouds
203,Meulaboh,ID,4.1363,96.1285,80.83,85,99,3.56,overcast clouds
204,Escarcega,MX,18.6089,-90.7454,91.74,40,1,4.43,clear sky
205,Cochabamba,BO,-17.3895,-66.1568,73.8,25,20,4.0,few clouds
