City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Luderitz,NA,2022-05-12 01:09:08,-26.6481,15.1594,55.71,71,0,10.69
126,Saint George,US,2022-05-12 01:07:41,37.1041,-113.5841,65.62,11,0,33.38
127,Anadyr,RU,2022-05-12 01:09:09,64.75,177.4833,41.5,70,0,11.18
128,Merauke,ID,2022-05-12 01:09:09,-8.4667,140.3333,83.48,78,100,9.8
129,Lakatoro,VU,2022-05-12 01:09:10,-16.0999,167.4164,80.69,73,100,16.35
130,Severo-Kurilsk,RU,2022-05-12 01:09:10,50.6789,156.125,41.27,81,12,2.37
131,Las Palmas,ES,2022-05-12 01:09:11,28.4204,-14.0131,66.99,73,0,11.5
132,Thinadhoo,MV,2022-05-12 01:06:50,0.5333,72.9333,83.37,76,100,16.31
133,Cockburn Town,TC,2022-05-12 01:05:11,21.4612,-71.1419,80.11,73,100,4.54
134,Clyde River,CA,2022-05-12 01:05:07,70.4692,-68.5914,17.83,86,20,20.71
135,Hualmay,PE,2022-05-12 01:09:12,-11.0964,-77.6139,64.47,86,1,7.92
136,Liwale,TZ,2022-05-12 01:09:12,-9.7667,37.9333,62.85,85,7,4.09
137,Yellowknife,CA,2022-05-12 01:09:13,62.456,-114.3525,41.56,60,84,8.01
138,Port Macquarie,AU,2022-05-12 01:09:13,-31.4333,152.9167,69.89,83,75,18.41
139,Dingle,PH,2022-05-12 01:09:14,10.9995,122.6711,86.22,68,63,10.02
140,Pevek,RU,2022-05-12 01:09:15,69.7008,170.3133,27.97,91,100,14.05
141,Douentza,ML,2022-05-12 01:09:15,14.9951,-2.9517,86.74,6,99,3.51
142,Tuatapere,NZ,2022-05-12 01:08:06,-46.1333,167.6833,57.51,63,100,3.38
143,Atar,MR,2022-05-12 01:09:16,20.5169,-13.0499,89.58,20,57,6.42
144,Pozo Colorado,PY,2022-05-12 01:09:16,-23.4923,-58.7972,60.75,70,0,5.75
145,Dikson,RU,2022-05-12 01:09:17,73.5069,80.5464,12.04,89,5,5.99
146,Portree,GB,2022-05-12 01:09:17,57.4129,-6.1942,43.52,90,50,11.56
147,Tilichiki,RU,2022-05-12 01:09:18,60.4667,166.1,34.56,86,100,4.54
148,Arraial Do Cabo,BR,2022-05-12 01:09:19,-22.9661,-42.0278,74.48,79,12,3.83
149,Narrabri,AU,2022-05-12 01:09:19,-30.3167,149.7833,62.53,96,100,1.01
150,Dhidhdhoo,MV,2022-05-12 01:09:20,6.8833,73.1,83.41,76,43,13.0
151,Port Alfred,ZA,2022-05-12 01:09:21,-33.5906,26.891,59.7,80,0,5.68
152,Cabra,ES,2022-05-12 01:09:21,37.4725,-4.4421,62.74,41,95,3.6
